0,9,8
0,13,1
0,14,2
1,5,10
1,9,9
1,13,1
1,14,2
2,9,8
2,13,1
2,14,2
3,9,9
3,13,1
3,14,2
4,11,3
4,12,3
4,13,1
4,14,2
5,13,1
5,14,2
6,12,11
6,13,1
6,14,2
7,12,3
7,13,1
7,14,2
8,9,9
8,13,1
8,14,2
9,13,1
9,14,2
10,10,3
10,11,3
10,12,3
10,13,1
10,14,2
11,11,3
11,12,3
11,13,1
11,14,2
12,12,3
12,13,1
12,14,2
13,11,3
13,12,3
13,13,1
13,14,2
14,10,3
14,11,3
14,12,3
14,13,1
14,14,2
15,9,3
15,10,3
15,11,3
15,12,3
15,13,1
15,14,2
16,13,1
16,14,2
17,9,9
17,13,1
17,14,2
18,9,9
18,13,1
18,14,2
19,13,1
19,14,2
20,5,10
20,9,9
20,13,1
20,14,2
21,13,1
21,14,2
22,9,9
22,13,1
22,14,2
23,5,8
23,13,1
23,14,2
24,5,8
24,13,1
24,14,2
25,9,3
25,10,3
25,11,3
25,12,3
25,13,1
25,14,2
27,9,4
28,9,5
26,13,1
26,14,2
27,10,6
28,10,7
27,10,6
28,10,7
27,11,6
28,11,7
27,11,6
28,11,7
27,12,6
28,12,7
27,12,6
28,12,7
27,13,1
27,14,2
28,13,1
28,14,2
29,13,1
29,14,2
30,5,9
30,9,8
30,13,1
30,14,2
31,13,1
31,14,2
32,5,8
33,9,9
33,13,1
33,14,2
34,13,1
34,14,2
35,5,10
35,9,9
35,13,1
35,14,2
36,13,1
36,14,2
37,9,9
37,13,1
37,14,2
38,9,8
38,13,1
38,14,2
39,9,8
39,13,1
39,14,2
40,13,1
40,14,2
41,13,1
41,14,2
42,9,4
43,9,5
42,10,6
43,10,7
42,10,6
43,10,7
42,11,6
43,11,7
42,11,6
43,11,7
42,12,6
43,12,7
42,12,6
43,12,7
42,13,1
42,14,2
43,13,1
43,14,2
44,13,1
44,14,2
45,13,1
45,14,2
46,13,1
46,14,2
47,5,10
47,9,9
47,13,1
47,14,2
48,13,1
48,14,2
49,9,9
49,13,1
49,14,2
50,13,1
50,14,2
51,13,1
51,14,2
52,13,1
52,14,2
53,5,8
53,13,1
53,14,2
54,10,3
54,11,3
54,12,3
54,13,1
54,14,2
55,11,3
55,12,3
55,13,1
55,14,2
56,5,9
56,9,8
56,13,1
56,14,2
57,13,1
57,14,2
58,13,1
58,14,2
59,9,9
59,13,1
59,14,2
60,13,1
60,14,2
61,5,10
61,9,9
61,13,1
61,14,2
62,13,1
62,14,2
63,9,9
63,13,1
63,14,2
64,13,1
64,14,2
65,5,10
65,9,9
65,13,1
65,14,2
66,13,1
66,14,2
67,9,9
67,13,1
67,14,2
68,13,1
68,14,2
69,12,3
69,13,1
69,14,2
70,11,3
70,12,3
70,13,1
70,14,2
71,10,3
71,11,3
71,12,3
71,13,1
71,14,2
72,13,1
72,14,2
73,12,3
73,13,1
73,14,2
74,12,3
74,13,1
74,14,2
75,9,9
75,13,1
75,14,2
76,9,8
76,13,1
76,14,2
77,9,8
77,13,1
77,14,2
78,13,1
78,14,2
80,13,1
80,14,2
81,13,1
81,14,2
82,13,1
82,14,2
84,13,1
84,14,2
85,13,1
85,14,2
86,13,1
86,14,2
88,13,1
88,14,2
89,13,1
89,14,2
90,9,3
90,10,3
90,11,3
90,12,3
90,13,1
90,14,2
91,13,1
91,14,2
92,9,10
92,12,12
92,13,1
92,14,2
93,9,4
94,9,5
93,10,6
94,10,7
93,10,6
94,10,7
93,11,6
94,11,7
93,11,6
94,11,7
93,12,6
94,12,7
93,12,6
94,12,7
93,13,1
93,14,2
94,13,1
94,14,2
96,13,1
96,14,2
97,9,9
97,12,12
97,13,1
97,14,2
98,5,8
99,9,4
100,9,5
99,10,6
100,10,7
99,10,6
100,10,7
99,11,6
100,11,7
99,11,6
100,11,7
99,12,6
100,12,7
99,12,6
100,12,7
99,13,1
99,14,2
100,13,1
100,14,2
101,13,1
101,14,2
102,13,1
102,14,2
103,13,1
103,14,2
104,5,8
106,9,9
106,12,12
106,13,1
106,14,2
107,5,8
107,13,1
107,14,2
108,12,11
108,13,1
108,14,2
109,11,3
109,12,3
109,13,1
109,14,2
110,9,8
110,13,1
110,14,2
111,5,8
111,12,11
111,13,1
111,14,2
112,13,1
112,14,2
113,9,9
113,13,1
113,14,2
114,13,1
114,14,2
115,5,9
115,9,8
115,13,1
115,14,2
116,9,9
116,13,1
116,14,2
117,12,11
117,13,1
117,14,2
118,12,11
118,13,1
118,14,2
120,9,3
120,10,3
120,11,3
120,12,3
120,13,1
120,14,2
121,13,1
121,14,2
122,5,9
122,9,8
122,13,1
122,14,2
123,13,1
123,14,2
124,10,3
124,11,3
124,12,3
124,13,1
124,14,2
125,10,3
125,11,3
125,12,3
125,13,1
125,14,2
126,9,9
126,13,1
126,14,2
127,5,9
127,9,8
127,13,1
127,14,2
128,10,3
128,11,3
128,12,3
128,13,1
128,14,2
129,9,9
129,13,1
129,14,2
130,12,3
130,13,1
130,14,2
131,10,3
131,11,3
131,12,3
131,13,1
131,14,2
132,13,1
132,14,2
133,9,9
133,13,1
133,14,2
134,9,8
134,13,1
134,14,2
135,9,8
135,13,1
135,14,2
136,13,1
136,14,2
137,10,3
137,11,3
137,12,3
137,13,1
137,14,2
138,12,3
138,13,1
138,14,2
140,9,4
141,9,5
140,10,6
141,10,7
140,10,6
141,10,7
140,11,6
141,11,7
140,11,6
141,11,7
140,12,6
141,12,7
140,12,6
141,12,7

143,10,4
144,10,5
143,11,6
